transaction_id,transaction_at,business_date,processor,venue_area,terminal_id,reference_id,auth_code,tender_type,transaction_type,amount,settlement_status,batch_id,source_file,discrepancy_count,discrepancy_types,recommended_actions
txn-00011,2026-04-03 17:00:31,2026-04-03,Shift4,SEC-302-BAR,TERM-133,INV-S4-109208,AUTH1964,MC,SALE,39.81,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00012,2026-04-03 17:00:50,2026-04-03,FreedomPay,TKT-GATE-4,FP-TERM-12,REQ-FP-204673,FP46216,CARD,SALE,397.84,SETTLED,FP-STORE-A,freedompay_settlement.csv,0,,
txn-00013,2026-04-03 17:02:37,2026-04-03,FreedomPay,VIP-SUITE-B,FP-TERM-10,REQ-FP-202151,FP73451,CARD,SALE,442.03,SETTLED,FP-STORE-A,freedompay_settlement.csv,0,,
txn-00014,2026-04-03 17:04:15,2026-04-03,Shift4,MERCH-MAIN,TERM-112,INV-S4-109117,AUTH2674,VISA,SALE,40.31,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00015,2026-04-03 17:04:39,2026-04-03,SeatGeek,GATE-A-TICKET,SG-BOX-7,SG-ORD-401190,SG89116,CREDIT,SALE,313.54,SETTLED,EVT-2026-0403,seatgeek_settlement.csv,0,,
txn-00016,2026-04-03 17:07:05,2026-04-03,Shift4,MERCH-MAIN,TERM-144,INV-S4-104636,AUTH7572,VISA,SALE,29.36,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00017,2026-04-03 17:07:38,2026-04-03,FreedomPay,VIP-SUITE-B,FP-TERM-19,REQ-FP-204732,FP40900,CARD,SALE,327.89,SETTLED,FP-STORE-A,freedompay_settlement.csv,0,,
txn-00018,2026-04-03 17:07:44,2026-04-03,Shift4,MERCH-MAIN,TERM-110,INV-S4-105711,AUTH5131,MC,SALE,35.31,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00019,2026-04-03 17:08:25,2026-04-03,Shift4,SEC-302-BAR,TERM-103,INV-S4-110731,AUTH9550,VISA,SALE,10.95,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00020,2026-04-03 17:08:55,2026-04-03,Shift4,SEC-302-BAR,TERM-128,INV-S4-104791,AUTH5460,VISA,SALE,23.31,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00021,2026-04-03 17:09:19,2026-04-03,FreedomPay,VIP-SUITE-B,FP-TERM-10,REQ-FP-203775,FP37689,CARD,SALE,76.86,SETTLED,FP-STORE-A,freedompay_settlement.csv,0,,
txn-00022,2026-04-03 17:09:20,2026-04-03,Amazon JWO,JWO-STORE-1,GATE-A1,AMZ-TRX-302538,,AMAZON,SALE,15.21,SETTLED,AMZ-LOC-1,amazon_jwo_settlement.csv,0,,
txn-00023,2026-04-03 17:10:26,2026-04-03,Shift4,SEC-114-CONCESSIONS,TERM-148,INV-S4-109761,AUTH4116,MC,SALE,44.39,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00024,2026-04-03 17:10:26,2026-04-03,Shift4,SEC-114-CONCESSIONS,TERM-108,INV-S4-111075,AUTH1748,MC,SALE,29.73,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00025,2026-04-03 17:10:59,2026-04-03,Shift4,SEC-302-BAR,TERM-149,INV-S4-104566,AUTH1682,VISA,SALE,24.94,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00026,2026-04-03 17:11:29,2026-04-03,Shift4,MERCH-MAIN,TERM-148,INV-S4-102275,AUTH6420,VISA,SALE,38.75,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00027,2026-04-03 17:11:32,2026-04-03,Shift4,SEC-302-BAR,TERM-127,INV-S4-106848,AUTH4654,AMEX,SALE,35.93,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00028,2026-04-03 17:12:22,2026-04-03,Shift4,SEC-114-CONCESSIONS,TERM-138,INV-S4-101915,AUTH8521,VISA,SALE,42.37,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00029,2026-04-03 17:13:27,2026-04-03,FreedomPay,TKT-GATE-4,FP-TERM-16,REQ-FP-200921,FP53033,CARD,SALE,424.97,SETTLED,FP-STORE-A,freedompay_settlement.csv,0,,
txn-00030,2026-04-03 17:13:35,2026-04-03,Shift4,SEC-114-CONCESSIONS,TERM-108,INV-S4-111190,AUTH4830,VISA,SALE,27.01,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00031,2026-04-03 17:14:01,2026-04-03,FreedomPay,VIP-SUITE-B,FP-TERM-10,REQ-FP-200945,FP29935,CARD,SALE,356.09,SETTLED,FP-STORE-A,freedompay_settlement.csv,0,,
txn-00032,2026-04-03 17:14:05,2026-04-03,Shift4,MERCH-MAIN,TERM-115,INV-S4-107483,AUTH7735,VISA,SALE,28.12,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00033,2026-04-03 17:14:54,2026-04-03,Shift4,SEC-114-CONCESSIONS,TERM-111,INV-S4-107650,AUTH1978,MC,SALE,32.99,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00034,2026-04-03 17:15:46,2026-04-03,Shift4,MERCH-MAIN,TERM-135,INV-S4-106004,AUTH4680,VISA,SALE,43.51,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00035,2026-04-03 17:16:24,2026-04-03,FreedomPay,VIP-SUITE-B,FP-TERM-14,REQ-FP-200054,FP63807,CARD,SALE,346.52,SETTLED,FP-STORE-A,freedompay_settlement.csv,0,,
txn-00036,2026-04-03 17:16:28,2026-04-03,SeatGeek,GATE-A-TICKET,SG-BOX-5,SG-ORD-402672,SG89477,CREDIT,TRANSFER,119.57,SETTLED,EVT-2026-0403,seatgeek_settlement.csv,0,,
txn-00037,2026-04-03 17:16:57,2026-04-03,Shift4,SEC-302-BAR,TERM-126,INV-S4-100504,AUTH7819,VISA,SALE,23.65,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00038,2026-04-03 17:17:26,2026-04-03,Shift4,SEC-114-CONCESSIONS,TERM-139,INV-S4-101437,AUTH9120,VISA,SALE,12.29,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00039,2026-04-03 17:17:34,2026-04-03,SeatGeek,GATE-A-TICKET,SG-BOX-1,SG-ORD-400158,SG10248,MOBILE_PAY,SALE,252.14,SETTLED,EVT-2026-0403,seatgeek_settlement.csv,0,,
txn-00040,2026-04-03 17:17:53,2026-04-03,SeatGeek,GATE-B-TICKET,SG-BOX-7,SG-ORD-402599,SG67650,CREDIT,SALE,90.72,SETTLED,EVT-2026-0403,seatgeek_settlement.csv,0,,
txn-00041,2026-04-03 17:18:05,2026-04-03,FreedomPay,VIP-SUITE-B,FP-TERM-10,REQ-FP-200543,FP89637,CARD,SALE,254.5,SETTLED,FP-STORE-A,freedompay_settlement.csv,0,,
txn-00042,2026-04-03 17:18:06,2026-04-03,SeatGeek,PREMIUM-SUITE-ENTRY,SG-BOX-3,SG-ORD-402512,SG90197,CREDIT,TRANSFER,174.38,SETTLED,EVT-2026-0403,seatgeek_settlement.csv,0,,
txn-00043,2026-04-03 17:18:49,2026-04-03,Shift4,SEC-302-BAR,TERM-129,INV-S4-100947,AUTH6225,VISA,SALE,34.99,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00044,2026-04-03 17:19:20,2026-04-03,Shift4,SEC-302-BAR,TERM-114,INV-S4-110278,AUTH1563,VISA,SALE,41.22,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00045,2026-04-03 17:19:33,2026-04-03,Shift4,SEC-114-CONCESSIONS,TERM-105,INV-S4-101913,AUTH2553,VISA,SALE,30.85,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00046,2026-04-03 17:20:39,2026-04-03,Shift4,MERCH-MAIN,TERM-138,INV-S4-108046,AUTH2908,MC,SALE,12.11,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00047,2026-04-03 17:21:08,2026-04-03,Tapin2,PREMIUM-LOUNGE-ORDER,T2-KIOSK-11,T2-501869,T2REF57906,CREDIT,SALE,48.38,SETTLED,T2-BATCH-0403,tapin2_settlement.csv,0,,
txn-00048,2026-04-03 17:21:43,2026-04-03,Shift4,MERCH-MAIN,TERM-133,INV-S4-110867,AUTH9769,VISA,SALE,18.07,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00049,2026-04-03 17:21:48,2026-04-03,Amazon JWO,JWO-STORE-1,GATE-A1,AMZ-TRX-301024,,AMAZON,SALE,36.98,SETTLED,AMZ-LOC-1,amazon_jwo_settlement.csv,0,,
txn-00050,2026-04-03 17:21:53,2026-04-03,Shift4,SEC-302-BAR,TERM-120,INV-S4-111643,AUTH4509,DISC,SALE,43.78,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00051,2026-04-03 17:22:10,2026-04-03,Shift4,SEC-114-CONCESSIONS,TERM-112,INV-S4-105141,AUTH5309,VISA,SALE,10.6,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00052,2026-04-03 17:22:18,2026-04-03,Shift4,MERCH-MAIN,TERM-146,INV-S4-101381,AUTH3853,MC,SALE,32.37,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00053,2026-04-03 17:22:31,2026-04-03,FreedomPay,VIP-SUITE-B,FP-TERM-12,REQ-FP-203847,FP70834,CARD,SALE,94.39,SETTLED,FP-STORE-A,freedompay_settlement.csv,0,,
txn-00054,2026-04-03 17:22:36,2026-04-03,Shift4,SEC-114-CONCESSIONS,TERM-131,INV-S4-102707,AUTH1238,DISC,SALE,9.21,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00055,2026-04-03 17:22:40,2026-04-03,FreedomPay,VIP-SUITE-B,FP-TERM-12,REQ-FP-201277,FP62670,CARD,SALE,368.19,SETTLED,FP-STORE-A,freedompay_settlement.csv,0,,
txn-00056,2026-04-03 17:23:13,2026-04-03,Shift4,SEC-302-BAR,TERM-116,INV-S4-108676,AUTH6588,VISA,SALE,21.03,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00057,2026-04-03 17:24:06,2026-04-03,Shift4,SEC-302-BAR,TERM-112,INV-S4-106548,AUTH3698,VISA,SALE,38.35,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00058,2026-04-03 17:24:17,2026-04-03,FreedomPay,VIP-SUITE-B,FP-TERM-12,REQ-FP-202148,FP63726,CARD,SALE,284.98,SETTLED,FP-STORE-A,freedompay_settlement.csv,0,,
txn-00059,2026-04-03 17:24:22,2026-04-03,Shift4,SEC-302-BAR,TERM-127,INV-S4-109515,AUTH4687,DISC,SALE,38.24,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00060,2026-04-03 17:25:19,2026-04-03,Shift4,SEC-114-CONCESSIONS,TERM-142,INV-S4-104616,AUTH6393,VISA,SALE,35.39,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00061,2026-04-03 17:26:10,2026-04-03,SeatGeek,BOX-OFFICE,SG-BOX-3,SG-ORD-402509,SG31916,CREDIT,SALE,330.39,SETTLED,EVT-2026-0403,seatgeek_settlement.csv,0,,
txn-00062,2026-04-03 17:26:18,2026-04-03,Amazon JWO,JWO-STORE-1,GATE-A1,AMZ-TRX-301651,,AMAZON,SALE,42.86,SETTLED,AMZ-LOC-1,amazon_jwo_settlement.csv,0,,
txn-00063,2026-04-03 17:26:42,2026-04-03,FreedomPay,VIP-SUITE-B,FP-TERM-14,REQ-FP-202377,FP89820,CARD,SALE,433.78,SETTLED,FP-STORE-A,freedompay_settlement.csv,0,,
txn-00064,2026-04-03 17:27:10,2026-04-03,Shift4,SEC-302-BAR,TERM-145,INV-S4-105943,AUTH9133,DISC,SALE,25.25,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00065,2026-04-03 17:27:12,2026-04-03,Shift4,SEC-302-BAR,TERM-138,INV-S4-101308,AUTH7399,AMEX,SALE,36.33,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00066,2026-04-03 17:27:30,2026-04-03,Shift4,SEC-114-CONCESSIONS,TERM-113,INV-S4-109954,AUTH9555,VISA,SALE,40.0,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00067,2026-04-03 17:27:32,2026-04-03,Shift4,MERCH-MAIN,TERM-126,INV-S4-105632,AUTH8950,VISA,SALE,11.89,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00068,2026-04-03 17:27:39,2026-04-03,Amazon JWO,JWO-STORE-1,GATE-A1,AMZ-TRX-302169,,AMAZON,SALE,28.14,SETTLED,AMZ-LOC-1,amazon_jwo_settlement.csv,0,,
txn-00069,2026-04-03 17:27:39,2026-04-03,Tapin2,SUITE-DELIVERY,T2-KIOSK-1,T2-501283,T2REF42510,APP_PAY,SALE,43.21,SETTLED,T2-BATCH-0403,tapin2_settlement.csv,0,,
txn-00070,2026-04-03 17:27:42,2026-04-03,Shift4,SEC-114-CONCESSIONS,TERM-135,INV-S4-107408,AUTH9989,VISA,SALE,22.96,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00071,2026-04-03 17:28:03,2026-04-03,Shift4,MERCH-MAIN,TERM-113,INV-S4-102302,AUTH1181,VISA,SALE,19.26,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00072,2026-04-03 17:28:27,2026-04-03,Amazon JWO,JWO-STORE-1,GATE-A1,AMZ-TRX-300057,,AMAZON,SALE,29.46,SETTLED,AMZ-LOC-1,amazon_jwo_settlement.csv,0,,
txn-00073,2026-04-03 17:28:44,2026-04-03,Shift4,SEC-114-CONCESSIONS,TERM-148,INV-S4-107815,AUTH1472,VISA,SALE,42.28,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00074,2026-04-03 17:28:46,2026-04-03,Shift4,MERCH-MAIN,TERM-103,INV-S4-101521,AUTH3220,VISA,SALE,41.89,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00075,2026-04-03 17:28:46,2026-04-03,Shift4,SEC-302-BAR,TERM-102,INV-S4-103266,AUTH1844,MC,SALE,44.23,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00076,2026-04-03 17:28:50,2026-04-03,SeatGeek,BOX-OFFICE,SG-BOX-6,SG-ORD-401772,SG63575,CREDIT,SALE,121.84,SETTLED,EVT-2026-0403,seatgeek_settlement.csv,0,,
txn-00077,2026-04-03 17:28:54,2026-04-03,SeatGeek,BOX-OFFICE,SG-BOX-7,SG-ORD-401161,SG29009,DEBIT,SALE,317.6,SETTLED,EVT-2026-0403,seatgeek_settlement.csv,0,,
txn-00078,2026-04-03 17:28:59,2026-04-03,Shift4,MERCH-MAIN,TERM-108,INV-S4-104720,AUTH6593,MC,SALE,43.62,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00079,2026-04-03 17:29:19,2026-04-03,Shift4,SEC-114-CONCESSIONS,TERM-103,INV-S4-102935,AUTH3288,VISA,SALE,11.35,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00080,2026-04-03 17:29:21,2026-04-03,Shift4,SEC-302-BAR,TERM-102,INV-S4-104973,AUTH8729,VISA,SALE,31.74,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00081,2026-04-03 17:29:24,2026-04-03,Tapin2,MOBILE-ORDER-CONCOURSE,T2-KIOSK-10,T2-501216,T2REF62939,CREDIT,SALE,43.74,SETTLED,T2-BATCH-0403,tapin2_settlement.csv,0,,
txn-00082,2026-04-03 17:29:39,2026-04-03,SeatGeek,BOX-OFFICE,SG-BOX-1,SG-ORD-400630,SG25423,CREDIT,SALE,318.96,SETTLED,EVT-2026-0403,seatgeek_settlement.csv,0,,
txn-00083,2026-04-03 17:30:13,2026-04-03,Shift4,SEC-302-BAR,TERM-137,INV-S4-109626,AUTH8045,VISA,SALE,24.34,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00084,2026-04-03 17:30:34,2026-04-03,Shift4,SEC-302-BAR,TERM-115,INV-S4-108991,AUTH7194,MC,SALE,37.54,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00085,2026-04-03 17:30:57,2026-04-03,Shift4,SEC-302-BAR,TERM-145,INV-S4-108783,AUTH1440,MC,SALE,43.26,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00086,2026-04-03 17:31:09,2026-04-03,Shift4,MERCH-MAIN,TERM-110,INV-S4-106662,AUTH2239,VISA,SALE,34.91,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00087,2026-04-03 17:31:17,2026-04-03,Shift4,MERCH-MAIN,TERM-107,INV-S4-103355,AUTH7201,VISA,SALE,10.74,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00088,2026-04-03 17:31:26,2026-04-03,SeatGeek,GATE-A-TICKET,SG-BOX-7,SG-ORD-401143,SG13355,CREDIT,SALE,319.9,SETTLED,EVT-2026-0403,seatgeek_settlement.csv,0,,
txn-00089,2026-04-03 17:31:36,2026-04-03,FreedomPay,VIP-SUITE-B,FP-TERM-12,REQ-FP-201122,FP44978,CARD,SALE,356.81,SETTLED,FP-STORE-A,freedompay_settlement.csv,0,,
txn-00090,2026-04-03 17:31:39,2026-04-03,SeatGeek,BOX-OFFICE,SG-BOX-5,SG-ORD-401530,SG51443,MOBILE_PAY,SALE,246.3,SETTLED,EVT-2026-0403,seatgeek_settlement.csv,0,,
txn-00091,2026-04-03 17:31:49,2026-04-03,Shift4,SEC-114-CONCESSIONS,TERM-114,INV-S4-104546,AUTH9977,MC,SALE,43.72,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00092,2026-04-03 17:32:43,2026-04-03,Amazon JWO,JWO-STORE-1,GATE-A1,AMZ-TRX-302436,,AMAZON,SALE,33.4,SETTLED,AMZ-LOC-1,amazon_jwo_settlement.csv,0,,
txn-00093,2026-04-03 17:32:45,2026-04-03,SeatGeek,PREMIUM-SUITE-ENTRY,SG-BOX-4,SG-ORD-402162,SG72454,CREDIT,SALE,158.75,SETTLED,EVT-2026-0403,seatgeek_settlement.csv,0,,
txn-00094,2026-04-03 17:32:59,2026-04-03,Shift4,MERCH-MAIN,TERM-140,INV-S4-100829,AUTH1373,AMEX,SALE,24.82,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00095,2026-04-03 17:33:00,2026-04-03,Shift4,MERCH-MAIN,TERM-137,INV-S4-106422,AUTH7563,VISA,SALE,43.33,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00096,2026-04-03 17:33:19,2026-04-03,Shift4,MERCH-MAIN,TERM-134,INV-S4-106167,AUTH6973,VISA,SALE,44.9,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00097,2026-04-03 17:33:30,2026-04-03,Tapin2,PREMIUM-LOUNGE-ORDER,T2-KIOSK-1,T2-500795,T2REF26047,APP_PAY,SALE,39.31,SETTLED,T2-BATCH-0403,tapin2_settlement.csv,0,,
txn-00098,2026-04-03 17:33:35,2026-04-03,Shift4,SEC-114-CONCESSIONS,TERM-125,INV-S4-106847,AUTH6796,VISA,SALE,20.81,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00099,2026-04-03 17:33:57,2026-04-03,FreedomPay,VIP-SUITE-B,FP-TERM-19,REQ-FP-200013,,CARD,SALE,302.01,SETTLED,FP-STORE-A,freedompay_settlement.csv,1,Missing auth code,Review processor detail and verify authorization before close.
txn-00100,2026-04-03 17:34:09,2026-04-03,Shift4,SEC-302-BAR,TERM-107,INV-S4-101214,AUTH3452,VISA,SALE,11.32,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00101,2026-04-03 17:34:10,2026-04-03,Shift4,SEC-302-BAR,TERM-140,INV-S4-109071,AUTH8442,VISA,SALE,38.29,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00102,2026-04-03 17:34:14,2026-04-03,Shift4,SEC-302-BAR,TERM-137,INV-S4-104771,AUTH5901,VISA,SALE,21.73,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00103,2026-04-03 17:34:41,2026-04-03,Shift4,SEC-114-CONCESSIONS,TERM-129,INV-S4-111303,AUTH4947,AMEX,SALE,14.83,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00104,2026-04-03 17:34:53,2026-04-03,Shift4,SEC-302-BAR,TERM-147,INV-S4-107520,AUTH1401,VISA,SALE,8.43,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00105,2026-04-03 17:35:05,2026-04-03,Tapin2,PREMIUM-LOUNGE-ORDER,T2-KIOSK-9,T2-501125,T2REF46093,CREDIT,SALE,31.71,SETTLED,T2-BATCH-0403,tapin2_settlement.csv,0,,
txn-00106,2026-04-03 17:35:20,2026-04-03,Shift4,MERCH-MAIN,TERM-112,INV-S4-110960,AUTH8597,MC,SALE,32.1,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00107,2026-04-03 17:35:33,2026-04-03,Tapin2,MOBILE-ORDER-CONCOURSE,T2-KIOSK-3,T2-500989,T2REF81001,CREDIT,SALE,64.78,SETTLED,T2-BATCH-0403,tapin2_settlement.csv,0,,
txn-00108,2026-04-03 17:35:37,2026-04-03,Shift4,SEC-302-BAR,TERM-145,INV-S4-103805,AUTH2264,VISA,SALE,21.02,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00109,2026-04-03 17:35:40,2026-04-03,Shift4,MERCH-MAIN,TERM-141,INV-S4-105025,AUTH5582,VISA,SALE,42.37,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00110,2026-04-03 17:35:48,2026-04-03,Amazon JWO,JWO-STORE-1,GATE-A1,AMZ-TRX-301189,,AMAZON,SALE,43.35,SETTLED,AMZ-LOC-1,amazon_jwo_settlement.csv,0,,
txn-00111,2026-04-03 17:35:48,2026-04-03,Shift4,SEC-302-BAR,TERM-102,INV-S4-109559,AUTH3310,VISA,SALE,30.18,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00112,2026-04-03 17:35:58,2026-04-03,Amazon JWO,JWO-STORE-1,GATE-A1,AMZ-TRX-302282,,AMAZON,SALE,76.29,SETTLED,AMZ-LOC-1,amazon_jwo_settlement.csv,0,,
txn-00113,2026-04-03 17:36:04,2026-04-03,FreedomPay,VIP-SUITE-B,FP-TERM-17,REQ-FP-202939,FP71116,CARD,SALE,408.3,SETTLED,FP-STORE-A,freedompay_settlement.csv,0,,
txn-00114,2026-04-03 17:36:19,2026-04-03,Shift4,SEC-114-CONCESSIONS,TERM-145,INV-S4-104076,AUTH2021,VISA,SALE,26.83,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00115,2026-04-03 17:36:22,2026-04-03,FreedomPay,VIP-SUITE-B,FP-TERM-11,REQ-FP-204294,FP57929,CARD,SALE,206.29,SETTLED,FP-STORE-A,freedompay_settlement.csv,0,,
txn-00116,2026-04-03 17:36:35,2026-04-03,Shift4,SEC-302-BAR,TERM-125,INV-S4-106178,AUTH5089,VISA,SALE,16.3,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00117,2026-04-03 17:36:40,2026-04-03,Shift4,MERCH-MAIN,TERM-114,INV-S4-108665,AUTH8569,MC,SALE,13.49,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00118,2026-04-03 17:36:53,2026-04-03,Shift4,MERCH-MAIN,TERM-121,INV-S4-102027,AUTH1263,MC,SALE,34.79,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00119,2026-04-03 17:37:01,2026-04-03,Shift4,SEC-302-BAR,TERM-102,INV-S4-107570,AUTH4358,AMEX,SALE,39.81,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00120,2026-04-03 17:37:24,2026-04-03,Shift4,MERCH-MAIN,TERM-141,INV-S4-106075,AUTH1256,VISA,SALE,35.92,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00121,2026-04-03 17:37:35,2026-04-03,Amazon JWO,JWO-STORE-1,GATE-A1,AMZ-TRX-301434,,AMAZON,SALE,64.01,SETTLED,AMZ-LOC-1,amazon_jwo_settlement.csv,0,,
txn-00122,2026-04-03 17:37:42,2026-04-03,Amazon JWO,JWO-STORE-1,GATE-A1,AMZ-TRX-300841,,AMAZON,SALE,55.49,SETTLED,AMZ-LOC-1,amazon_jwo_settlement.csv,0,,
txn-00123,2026-04-03 17:37:46,2026-04-03,Amazon JWO,JWO-STORE-1,GATE-A1,AMZ-TRX-300156,,AMAZON,SALE,38.3,SETTLED,AMZ-LOC-1,amazon_jwo_settlement.csv,0,,
txn-00124,2026-04-03 17:37:59,2026-04-03,Amazon JWO,JWO-STORE-1,GATE-A1,AMZ-TRX-302106,,AMAZON,SALE,71.3,SETTLED,AMZ-LOC-1,amazon_jwo_settlement.csv,0,,
txn-00125,2026-04-03 17:38:45,2026-04-03,Shift4,SEC-114-CONCESSIONS,TERM-120,INV-S4-111725,AUTH3640,AMEX,SALE,8.37,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00126,2026-04-03 17:38:50,2026-04-03,Shift4,SEC-114-CONCESSIONS,TERM-128,INV-S4-100293,AUTH3609,MC,SALE,40.89,SETTLED,BATCH-1,shift4_settlement.csv,0,,
txn-00127,2026-04-03 17:38:56,2026-04-03,Shift4,SEC-114-CONCESSIONS,TERM-123,INV-S4-100669,AUTH9939,AMEX,SALE,33.26,SETTLED,BATCH-1,shift4_settlement.csv,0,,
